,PMID,sent-idx,sentence
219,26278470,11,"Post hoc, in a small subgroup of patients with the worst insight (n = 23), it was found that the patients treated with the IBA reached a significantly higher OCD symptom reduction than the patients treated with CBT [estimated marginal mean = -7.77, t(219.45) ="
220,26278470,12,"-2.4, p = 0.017].
"
221,26278470,13,CONCLUSION Patients with OCD with poor insight improve significantly after psychological treatment.
222,26278470,14,The results of this study suggest that both CBT and the IBA are effective treatments for OCD with poor insight.
223,26278470,15,"The IBA might be more promising than CBT for patients with more extreme poor insight.

"
224,16055807,0,"Interventions in the initial prodromal states of psychosis in Germany: concept and recruitment.

"
225,16055807,1,BACKGROUND The Early Detection and Intervention Programme of the German Research Network on Schizophrenia (GRNS) investigates the initial prodromal phase of psychosis in a multidimensional approach.
226,16055807,2,"Two intervention strategies are being studied by two large-scale multicentre projects.
"
227,16055807,3,AIMS
228,16055807,4,"To present the concept of the intervention studies, and to provide an interim report of the recruitment procedure.
"
229,16055807,5,"METHOD Comprehensive cognitive-behavioural therapy has been developed for patients in the ""early initial prodromal state""."
230,16055807,6,"For patients in the ""late initial prodromal state"" the atypical neuroleptic amisulpride is explored."
231,16055807,7,"Both interventions are evaluated in randomised controlled trials using clinical management as the control condition.
"
232,16055807,8,RESULTS
233,16055807,9,"Between January 2001 and March 2003, 1212 individuals seeking help for mental health problems were screened for putative prodromal symptoms at four university centres."
234,16055807,10,"More than 388 individuals fulfilled criteria for both interventions and 188 (48.5%) gave informed consent to participate in the trials.
"
235,16055807,11,CONCLUSIONS
236,16055807,12,"The screening procedure appears to be feasible and trial participation seems to be acceptable to a relevant proportion of people at increased risk of developing psychosis.

"
237,19727232,0,"[Effects of auditory integrative training on autistic children].

"
238,19727232,1,OBJECTIVE
239,19727232,2,"To explore the short-term treatment effect of the auditory integrative training on autistic children and provide them with clinical support for rehabilitative treatment.
"
240,19727232,3,METHODS A total of 81 cases of autistic children were selected through the standard of DSM-4 and clinical case study was used.
241,19727232,4,"They were divided randomly into experimental group and control one, and respectively received auditory integrative training and no training based on the multiple therapies."
242,19727232,5,The patients were investigated using clinical manifestation and Autism Behavior Checklist (ABC) and intelligence quotient (IQ) before and after six months of treatment.
243,19727232,6,The effect was evaluated through the changes of clinical manifestations and scores of ABC and IQ.
244,19727232,7,"The changes of scores of IQ were determined with Gesell and WPPSI or WISC-R.
RESULTS Compared with 40 patients of the control group after the six months of the auditory integrative training, 41 of the experimental group had greatly improved in many aspects, such as the disorders of their language, social interactions and typical behavior symptoms while they had not changed in their abnormal behaviors."
245,19727232,8,The scores of IQ or DQ had increased and scores of ABC had dropped.
246,19727232,9,The differences between the two groups were greatly significant in statistics (P < 0.01).
247,19727232,10,"The decreasing level of both ABC scores and the increasing level of the IQ scores were negatively correlated with age, and the decreasing level of ABC scores was in line regression(positive correlation) with base IQ.
"
248,19727232,11,CONCLUSION
249,19727232,12,"The treatment of auditory integrative training (AIT) could greatly improve on language disorders, the difficulties of social interactions, typical behavior symptoms and developmental levels,therefore it is positive to the autistic children in its short-term treatment effect.

"
250,22271197,0,"Goal attainment scaling as an outcome measure in randomized controlled trials of psychosocial interventions in autism.

"
251,22271197,1,Goal attainment scaling (GAS) holds promise as an idiographic approach for measuring outcomes of psychosocial interventions in community settings.
252,22271197,2,"GAS has been criticized for untested assumptions of scaling level (i.e., interval or ordinal), inter-individual equivalence and comparability, and reliability of coding across different behavioral observation methods."
253,22271197,3,"We tested assumptions of equality between GAS descriptions for outcome measurement in a randomized trial (i.e., measurability, equidistance, level of difficulty, comparability of behavior samples collected from teachers vs. researchers and live vs. videotape)."
254,22271197,4,"Results suggest GAS descriptions can be evaluated for equivalency, that teacher collected behavior samples are representative, and that varied sources of behavior samples can be reliably coded."
255,22271197,5,GAS is a promising measurement approach.
256,22271197,6,"Recommendations are provided to ensure methodological quality.

"
257,19708562,0,"[Effect of transcranial electrostimulation on clinical and laboratory characteristics in patients with gastric ulcer].

"
258,19708562,1,The study included 100 patients with gastric ulcer aged from 16 to 60 years.
259,19708562,2,"In 58 patients, traditional treatment was supplemented by transcranial electrotherapy using a TRANSAIR-02 apparatus."
260,19708562,3,"Laboratory studies included measurements of lactoferrin (LF) and tumour necrosis factor-alpha (TNF-alpha), besides standard analyses."
261,19708562,4,"Combined treatment (traditional therapy plus electrostimulation) resulted in a significant reduction in duration of the main symptoms of the gastric ulcer depending on the severity of ulceration process, patients' age and sex."
262,19708562,5,"Moreover, it facilitated ulcer scarring and had beneficial effect on dynamics of serum LF and TNF-alpha levels.

"
263,14679127,0,"Long-term survival in a phase III, randomised study of topotecan versus paclitaxel in advanced epithelial ovarian carcinoma.

"
264,14679127,1,"BACKGROUND We have continued to monitor the survival of patients randomised in a previously reported multicentre phase III study of topotecan versus paclitaxel in patients with advanced epithelial ovarian cancer who had failed one prior platinum-based regimen.
"
265,14679127,2,PATIENTS AND METHODS Patients with bidimensionally measurable disease were randomised to topotecan (1.5 mg/m(2)/day for 5 days) or paclitaxel (175 mg/m(2)/day as a 3-h infusion) every 21 days.
266,14679127,3,Patients were eligible for treatment with the alternate therapy at third line.
267,14679127,4,"The European Organisation for Research and Treatment of Cancer Quality of Life (EORTC QOL)-C30 questionnaire was also used to measure eight symptoms at baseline and during each course (pain, anorexia, diarrhoea, fatigue, nausea and vomiting, dyspnea, constipation and insomnia).
"
268,14679127,5,RESULTS
269,14679127,6,A total of 226 patients were evaluable for response.
270,14679127,7,"Demographic characteristics were similar in both treatment groups, as were results of the EORTC QOL-30 questionnaire."
271,14679127,8,"For the topotecan group, median time to progression was 18.9 weeks (range <1 to 92.6+ weeks; 25% censored), and, for paclitaxel, 14.7 weeks (range <1 to 137.3+ weeks; 12.3% censored); P = 0.076."
272,14679127,9,"At 4 years post-randomisation, median survival in the topotecan group was 63.0 weeks (range <1 to 238.4+ weeks; 20.5% censored) and, for paclitaxel, 53.0 weeks (range <1 to 226.3+ weeks; 12.3% censored);"
273,14679127,10,"P = 0.44.
"
274,14679127,11,CONCLUSION Topotecan continues to demonstrate comparable efficacy and survival to paclitaxel with manageable and non-cumulative haematological toxicity. Non-haematological toxicity was generally mild for both groups.
275,14679127,12,"The long-term survival rate indicates substantial therapeutic benefit for this group of patients receiving topotecan at relapse of ovarian cancer.

"
276,21029638,0,"[Efficacy of paliperidone extended-release tablets in the improvement of social functions in schizophrenics: a randomized and controlled study].

"
277,21029638,1,OBJECTIVE
278,21029638,2,"To explore the efficacy of paliperidone extended-release tablets in the improvement of social functions in schizophrenics.
"
279,21029638,3,METHODS A total of 81 schizophrenics were randomly divided into study group with paliperidone extended-release tablets and control group with risperidone for a 12-week treatment.
280,21029638,4,"They were assessed and analyzed by positive and negative symptoms scales (PANSS), social disability screening schedule (SDSS) and treatment emergent symptom scale (TESS) at baseline, 6(th) weekend and 12(th) weekend.
"
281,21029638,5,RESULTS
282,21029638,6,"In study group, the factors and total scores of PANSS in the 12(th) weekend of treatment [(12.0 ± 2.8), (12.1 ± 3.6), (26.2 ± 5.0), (50.2 ± 8.7)] were all significantly lower than those at baseline [(24.7 ± 5.3), (23.8 ± 3.6), (45.0 ± 2.9), (93.5 ± 6.8)]"
283,21029638,7,"(t = 9.60-16.78, P < 0.05)."
284,21029638,8,"In study group, the positive factor, negative factor and total scores of PANSS in the 12(th) weekend of treatment [(12.0 ± 2.8), (12.1 ± 3.6), (50.2 ± 8.7)] were all significantly lower than those in the 6(th) weekend of treatment [(14.2 ± 1.8), (14.6 ± 2.4), (56.5 ± 6.4)]"
285,21029638,9,"(t = 2.58-4.26, P < 0.05)."
286,21029638,10,"In the 12(th) weekend of treatment, the factors and total scores of PANSS in study group [(12.0 ± 2.8), (12.1 ± 3.6), (26.2 ± 5.0), (50.2 ± 8.7)] were all significantly lower than those in control group [(16.9 ± 4.9), (18.7 ± 5.3), (32.5 ± 5.1), (68.1 ± 13.0)] (t = -4.28--5.67, P < 0.05)."
287,21029638,11,"In study group, the total scores of SDSS in the 12(th) weekend of treatment (5.93 ± 2.78) were significantly lower than those at baseline (13.9 ± 3.4)"
288,21029638,12,"(t = 10.83, P < 0.05)."
289,21029638,13,"In study group, the total scores of SDSS in the 12(th) weekend of treatment (5.9 ± 2.8) were significantly lower than those in the 6(th) weekend of treatment (7.6 ± 2.9) (t = 5.21, P < 0.05)."
290,21029638,14,"But there was no significant improvement in control group (t = 1.88, P > 0.05)."
291,21029638,15,"In the 12(th) weekend of treatment, the total scores of SDSS in study group (5.9 ± 2.8) were significantly lower than those in control group (8.8 ± 2.9) (t = -4.49, P < 0.05)."
292,21029638,16,"No severe adverse effect was reported in either group.
"
293,21029638,17,"CONCLUSION Paliperidone extended-release tablets are effective to improve social functions and psychiatric symptoms of schizophrenics.

"
294,8916620,0,"Analysis of prevention program effectiveness with clustered data using generalized estimating equations.

"
295,8916620,1,Experimental studies of prevention programs often randomize clusters of individuals rather than individuals to treatment conditions.
296,8916620,2,"When the correlation among individuals within clusters is not accounted for in statistical analysis, the standard errors are biased, potentially resulting in misleading conclusions about the significance of treatment effects."
297,8916620,3,"This study demonstrates the generalized estimating equations (GEE) method, focusing specifically on the GEE-independent method, to control for within-cluster correlation in regression models with either continuous or binary outcomes."
298,8916620,4,The GEE-independent method yields consistent and robust variance estimates.
299,8916620,5,"Data from project DARE, a youth substance abuse prevention program, are used for illustration.

"
300,9229602,0,"[Antazoline/tetryzoline eyedrops in comparison with levocabastine eyedrops in acute allergic conjunctivitis].

"
301,9229602,1,"BACKGROUND Allergic conjunctivitis is one of the most frequent allergic diseases of the anterior eye segment.
"
302,9229602,2,METHODS
303,9229602,3,"This multicentre, clinical trial was an investigation to compare the antiallergic efficacy, local tolerance and safety of Antazolin/Tetryzolin eye drops and Levocabastine eye drops."
304,9229602,4,69 patients were treated over a 2 weeks course of therapy.
305,9229602,5,"The subjective and objective ocular symptoms were documented over the treatment period.
"
306,9229602,6,RESULTS
307,9229602,7,Both eye drops reduced subjective and objective ocular symptoms effective.
308,9229602,8,"The difference between the treatments (p = 0.0395) was the faster onset of action of Antazolin/Tetryzolin 30 minutes after administration of the first drop of trial medication.
"
309,9229602,9,CONCLUSION
310,9229602,10,A fast and effective onset of action is of high clinical relevance.
311,9229602,11,"Therefore the benefits of using Antazolin/Tetryzolin eye drops was clearly outweigh.

"
312,21491990,0,"A novel approach to the use of subgingival controlled-release chlorhexidine delivery in chronic periodontitis: a randomized clinical trial.

"
313,21491990,1,"BACKGROUND We aimed to analyze clinical, microbiologic, and serologic effects of chlorhexidine (CHX) chips used as a subgingival controlled-release delivery device before and immediately after scaling and root planing (SRP).
"
314,21491990,2,METHODS Twenty-four patients presenting with ≥12 teeth with probing depth (PD) ≥5 mm and bleeding on probing were assigned in test or control groups.
315,21491990,3,"After prophylaxis, CHX chips (test) or placebo chips (control) were placed in pockets with PD ≥5 mm."
316,21491990,4,"Ten days later, SRP was performed in all teeth with PD ≥4 mm in a single appointment."
317,21491990,5,"Immediately after SRP, new chips were inserted in all pockets with PD ≥5 mm."
318,21491990,6,"Parameters were assessed at baseline; beginning of SRP; and 1, 3, and 6 months after treatment."
319,21491990,7,Subgingival samples were obtained at baseline; beginning of SRP; and at 1 month after treatment.
320,21491990,8,Periodontal pathogens
321,21491990,9,"Aggregatibacter actinomycetemcomitans, Porphyromonas gingivalis, Prevotella intermedia, Tannerella forsythia, and Treponema denticola were analyzed."
322,21491990,10,Serum levels of high sensitive C-reactive and lipopolysaccharide-binding proteins were measured.
323,21491990,11,"The changes of the parameters between and within the groups were tested by Mann-Whitney U test (P <0.05).
"
324,21491990,12,RESULTS
325,21491990,13,All clinical and serologic parameters improved in both groups over time.
326,21491990,14,There was a significant difference in clinical attachment level (CAL) gain from baseline to 6 months between groups (1.17 mm in the test group versus 0.79 mm in the placebo group) (P <0.05).
327,21491990,15,"The treatment with CHX chips showed a greater reduction of the microorganisms of the ""red complex"" after 1 month (P = 0.02).
"
328,21491990,16,CONCLUSION
329,21491990,17,"The use of CHX chips before and immediately after SRP improved CAL and reduced the subgingival microorganisms of the red complex in the treatment of chronic periodontitis.

"
330,14679127,0,"Long-term survival in a phase III, randomised study of topotecan versus paclitaxel in advanced epithelial ovarian carcinoma.

"
331,14679127,1,"BACKGROUND We have continued to monitor the survival of patients randomised in a previously reported multicentre phase III study of topotecan versus paclitaxel in patients with advanced epithelial ovarian cancer who had failed one prior platinum-based regimen.
"
332,14679127,2,PATIENTS AND METHODS Patients with bidimensionally measurable disease were randomised to topotecan (1.5 mg/m(2)/day for 5 days) or paclitaxel (175 mg/m(2)/day as a 3-h infusion) every 21 days.
333,14679127,3,Patients were eligible for treatment with the alternate therapy at third line.
334,14679127,4,"The European Organisation for Research and Treatment of Cancer Quality of Life (EORTC QOL)-C30 questionnaire was also used to measure eight symptoms at baseline and during each course (pain, anorexia, diarrhoea, fatigue, nausea and vomiting, dyspnea, constipation and insomnia).
"
335,14679127,5,RESULTS
336,14679127,6,A total of 226 patients were evaluable for response.
337,14679127,7,"Demographic characteristics were similar in both treatment groups, as were results of the EORTC QOL-30 questionnaire."
338,14679127,8,"For the topotecan group, median time to progression was 18.9 weeks (range <1 to 92.6+ weeks; 25% censored), and, for paclitaxel, 14.7 weeks (range <1 to 137.3+ weeks; 12.3% censored); P = 0.076."
339,14679127,9,"At 4 years post-randomisation, median survival in the topotecan group was 63.0 weeks (range <1 to 238.4+ weeks; 20.5% censored) and, for paclitaxel, 53.0 weeks (range <1 to 226.3+ weeks; 12.3% censored);"
340,14679127,10,"P = 0.44.
"
341,14679127,11,CONCLUSION Topotecan continues to demonstrate comparable efficacy and survival to paclitaxel with manageable and non-cumulative haematological toxicity. Non-haematological toxicity was generally mild for both groups.
342,14679127,12,"The long-term survival rate indicates substantial therapeutic benefit for this group of patients receiving topotecan at relapse of ovarian cancer.

"
343,11642083,0,"[Neoton and thrombolytic therapy of myocardial infarction].

"
344,11642083,1,AIM
345,11642083,2,"To evaluate neoton therapy effects in acute myocardial infarction (MI) on systolic function of the left ventricle, arrhythmia and clinical symptoms in patients on thrombolytic therapy (TLT).
"
346,11642083,3,MATERIAL AND METHODS 106 males with Q-MI entered the study.
347,11642083,4,"47 received treatment without TLT and neoton, 30 patients received TLT with streptokinase preparations, 29 patients were given streptokinase preparations and neoton."
348,11642083,5,"Left ventricular systolic function was measured by echocardiography on day 1, 3, 7, 14, 21 and 28; arrhythmia was analysed at Holter monitoring in day 1 and 2 of MI.
"
349,11642083,6,RESULTS TLT failed to arrest progression of left ventricular dilation by the end of the hospital stay.
350,11642083,7,Patients given neoton in acute period of MI had no increase in the end systolic and diastolic volumes of the left ventricle in the course of the first months after MI onset.
351,11642083,8,"Antiarrhythmic action of neoton manifested on MI day 2.
CONCLUSION"
352,11642083,9,"Neoton given to MI patients receiving TLT prevents progression of left ventricular systolic dysfunction and establishment of predictors of unfavourable outcome.

"
353,8989009,0,"Prevention of spinal anesthesia-induced hypotension in the elderly: comparison between preanesthetic administration of crystalloids, colloids, and no prehydration.

"
354,8989009,1,"The practice of routinely prehydrating patients by infusing a crystalloid or colloid solution (up to 1.0 L/70 kg) for prevention of spinal anesthesia-induced hypotension has been challenged recently, after several reports of failure to demonstrate its efficacy in young women."
355,8989009,2,We compared the incidence and frequency of hypotension and vasopressor therapy after spinal anesthesia and no prehydration with crystalloid and colloid prehydration in elderly patients.
356,8989009,3,"Eighty-five ASA grade I or II patients (aged 60-89 yr) for elective total hip replacement were randomized to receive 500 mL crystalloid solution (Hartmanns, n = 29), 500 mL colloid (Haemaccel, n = 28), or no prehydration (n = 28) over 10 min prior to spinal anesthesia."
357,8989009,4,"Hypotension was defined as a 30% decrease from baseline systolic blood pressure (BP) or systolic < 90 mm Hg, and was treated with ephedrine 3-mg boluses."
358,8989009,5,"Although absolute systolic BP readings were significantly higher in the colloid group between 6 and 30 min (P < 0.05), the incidence of hypotension was not significantly different between the groups."
359,8989009,6,"The incidence of ephedrine use, incidence of nausea/vomiting, and median total dose of ephedrine were similar in all groups."
360,8989009,7,"We conclude that, in elderly patients undergoing elective procedures, withholding prehydration is not associated with any greater degree of hypotension or need for vasopressor therapy compared with crystalloid or colloid prehydration.

"
361,20739054,0,"Eltrombopag for management of chronic immune thrombocytopenia (RAISE): a 6-month, randomised, phase 3 study.

"
362,20739054,1,BACKGROUND Eltrombopag is an oral thrombopoietin receptor agonist for the treatment of thrombocytopenia.
363,20739054,2,"We aimed to compare the response to once daily eltrombopag versus placebo in patients with chronic immune thrombocytopenia during a 6-month period.
"
364,20739054,3,METHODS
365,20739054,4,"We undertook a phase 3, double-blind, placebo-controlled study in adults with previously treated immune thrombocytopenia of more than 6 months' duration who had baseline platelet counts lower than 30,000 per μL."
366,20739054,5,Patients were randomly allocated (in a 2:1 ratio) treatment with local standard of care plus 50 mg eltrombopag or matching placebo once daily for 6 months.
367,20739054,6,"Randomisation was done centrally with a computer-generated randomisation schedule and was stratified by baseline platelet count (≤ 15,000 per μL), use of treatment for immune thrombocytopenia, and splenectomy status."
368,20739054,7,"Patients, investigators, and those assessing data were masked to allocation."
369,20739054,8,Dose modifications were made on the basis of platelet response.
370,20739054,9,"Patients were assessed for response to treatment (defined as a platelet count of 50,000-400,000 per μL) weekly during the first 6 weeks and at least once every 4 weeks thereafter; the primary endpoint was the odds of response to eltrombopag versus placebo."
371,20739054,10,Analysis was by intention to treat.
372,20739054,11,"This study is registered at ClinicalTrials.gov, number NCT00370331.
"
373,20739054,12,"FINDINGS Between Nov 22, 2006, and July 31, 2007"
374,20739054,13,", 197 patients were randomly allocated to treatment groups and were included in the intention-to-treat analysis (135 eltrombopag, 62 placebo)."
375,20739054,14,"106 (79%) patients in the eltrombopag group responded to treatment at least once during the study, compared with 17 (28%) patients in the placebo group."
376,20739054,15,"The odds of responding were greater in patients in the eltrombopag group compared with those in the placebo group throughout the 6-month treatment period (odds ratio 8·2, 99% CI 3·59-18·73; p<0·0001)."
377,20739054,16,37 (59%) patients receiving eltrombopag reduced concomitant treatment versus ten (32%) patients receiving placebo (p=0·016).
378,20739054,17,24 (18%) patients receiving eltrombopag needed rescue treatment compared with 25 (40%) patients receiving placebo (p=0·001).
379,20739054,18,Three (2%) patients receiving eltrombopag had thromboembolic events compared with none in patients on placebo.
380,20739054,19,"Nine (7%) eltrombopag-treated patients and two (3%) in the placebo group had mild increases in alanine aminotransferase concentration, and five (4%) eltrombopag-treated patients (vs none allocated to placebo) had increases in total bilirubin."
381,20739054,20,"Four (7%) patients taking placebo had serious bleeding events, compared with one (<1%) patient treated with eltrombopag.
"
382,20739054,21,"INTERPRETATION Eltrombopag is effective for management of chronic immune thrombocytopenia, and could be particularly beneficial for patients who have not responded to splenectomy or previous treatment."
383,20739054,22,"These benefits should be balanced with the potential risks associated with eltrombopag treatment.
"
384,20739054,23,"FUNDING GlaxoSmithKline.

"
385,361799,0,[The chemotherapy of advanced breast cancer.
386,361799,1,"A report on the first 600 cases in a cooperative programme to carry out a systematic study (1974-1977) (author's transl)].

"
387,361799,2,The authors explain the objectives and the structure of a programme evolved for the methodic study of advanced breast cancers which they have worked out and carried out in cooperation with the departments of medicine in eight French anticancer centres.
388,361799,3,"They analyse the initial phases, which correspond to the three first years of work."
389,361799,4,They give the state of the results that have been obtained in 603 patients using three protocols for treatment.
390,361799,5,These consisted of the administration in interrupted doses of chemotherapy which consisted of vincristine associated for the one part with cyclophosphamide and 5-fluoro-uracil and on the other hand with doxorubicine or/and with methotrexate.
391,361799,6,"From this study there emerged the value of combined therapy using doxorubicine as much because of the frequency with which results better than 50% were obtained (in a randomised trial) as by their quality, which was made clear in an important series of 240 cases."
392,361799,7,"They point out the conditions required to initiate the place of such a scheme in all complex therapy which aims as much at palliation as at cure, and point out how important it is to be methodical in the application of chemotherapy in order to ensure its development as an anticancer therapy.

"
393,19096921,0,"Trial design challenges when combining medication and parent training in children with pervasive developmental disorders.

"
394,19096921,1,"This paper presents the rationale for a 24-week, randomized trial designed to test whether risperidone plus structured parent training would be superior to risperidone only on measures of noncompliance, irritability and adaptive functioning."
395,19096921,2,"In this model, medication reduces tantrums, aggression and self-injury; parent training promotes improvement in noncompliance and adaptive functioning."
396,19096921,3,"Thus, medication and parent training target related, but separate, outcomes."
397,19096921,4,"At week 24, the medication was gradually withdrawn to determine whether subjects in the combined treatment group could be managed on a lower dose or off medication without relapse."
398,19096921,5,Both symptom reduction and functional improvement are important clinical treatment targets.
399,19096921,6,"Thus, experimental evidence on the beneficial effects of combining pharmacotherapy and exportable behavioral interventions is needed to guide clinical practice.

"
400,14763035,0,"A selective angiotensin receptor antagonist, Valsartan, produced regression of left ventricular hypertrophy associated with a reduction of arterial stiffness.

"
401,14763035,1,We investigated whether a selective angiotensin II receptor blocker (ARB) would have a regressive effect on left ventricular hypertrophy (LVH) in patients on continuous ambulatory peritoneal dialysis (CAPD).
402,14763035,2,"In a double-blind study, 24 CAPD patients with LVH [left ventricular mass index (LVMi) >"
403,14763035,3,110 g/m2 for women and LVMi > 137 g/m2 for men] were randomized to 12 months' administration of either the ARB valsartan (n = 14) or a placebo (n = 10).
404,14763035,4,The target blood pressure (BP) was 140/90 mmHg or lower in both groups.
405,14763035,5,The following parameters were measured before and at the end of the study: aortic and large-artery compliance and arterial wave reflections [pulse wave velocity (PWV) and augmentation index (AI) application tonometry] and cardiac echocardiography.
406,14763035,6,"Periodically recorded were body weight, BP (mercury sphygmomanometer), serum creatinine, electrolytes, complete blood cell counts, urine volume, drainage volume, and weekly creatinine clearance."
407,14763035,7,Two-way analysis of variance for repeated measurements was used for statistical analysis.
408,14763035,8,Systolic and diastolic BP were both reduced in patients treated with ARB.
409,14763035,9,The LVMi was significantly reduced in patients treated with ARB (to 121 +/-
410,14763035,10,4 from 145 +/-
411,14763035,11,5) but not in those receiving placebo (to 137 +/-
412,14763035,12,3 from 152 +/-
413,14763035,13,"3, p < 0.05)."
414,14763035,14,The decrease in LVMi was associated with a reduction in PWV and AI.
415,14763035,15,"In CAPD patients with LVH, ARB reduced LVMi in association with alterations in arterial hemodynamics.

"
416,22744141,0,"Parent-implemented enhanced milieu teaching with preschool children who have intellectual disabilities.

"
417,22744141,1,PURPOSE
418,22744141,2,"The purpose of this study was to compare the effects of enhanced milieu teaching (EMT) implemented by parents and therapists versus therapists only on the language skills of preschool children with intellectual disabilities (IDs), including children with Down syndrome and children with autism spectrum disorders.
"
419,22744141,3,METHOD Seventy-seven children were randomly assigned to 2 treatments (parent + therapist EMT or therapist-only EMT) and received 36 intervention sessions.
420,22744141,4,"Children were assessed before, immediately after, 6 months after, and 12 months after intervention."
421,22744141,5,"Separate linear regressions were conducted for each standardized and observational measure at each time point.
"
422,22744141,6,"RESULTS Parents in the parent + therapist group demonstrated greater use of EMT strategies at home than untrained parents in the therapist-only group, and these effects maintained over time."
423,22744141,7,Effect sizes for observational measures ranged from d = 0.10 to d =
424,22744141,8,"1.32 favoring the parent + therapist group, with the largest effect sizes found 12 months after intervention.
"
